title,description,tech_stack,category,github_url,demo_url,is_current,image_url
HandTalk: Real-Time Sign Language Recognition,"End-to-end SLR system using Bi-Directional LSTMs and MediaPipe landmarks. Features a distributed architecture with sub-200ms inference latency via WebSockets.","Python,TensorFlow,MediaPipe,Socket.io",research,https://github.com/Ad2m1109/HandTalk,#,false,/static/images/projects/handtalk.png
Sign Language Benchmarking Framework,"A specialized framework for multi-dataset SLR benchmarking, evaluating model performance across diverse spatial and temporal gesture datasets.","Python,Deep Learning,Scikit-learn",research,https://github.com/Ad2m1109/A-Benchmarking-Framework-for-Multi-Dataset-Sign-Language-Recognition,#,false,/static/images/projects/slr-benchmarking.png
High-Performance Football Inference Engine,"Ultra-low latency C++ inference engine using TensorRT and OpenCV for real-time player tracking and tactical analysis. Optimized for high FPS production environments.","C++,TensorRT,OpenCV,CUDA",research,https://github.com/Ad2m1109/High-Performance-Football-Analysis-Inference-Engine,#,false,/static/images/projects/football-engine.png
Coach Pro: System Orchestrator (Backend),"Centralized Node.js/Python backend orchestrating computer vision tasks, handling real-time data streams and system communication for sports analytics.","Python,Node.js,FastAPI,Redis",research,https://github.com/Ad2m1109/Coach-Pro-Backend---System-Orchestrator,#,false,/static/images/projects/coach-pro-back.png
Coach Pro: Mobile Analytics Platform,"Cross-platform Flutter application providing real-time data visualization and tactical feedback for football coaches based on AI-processed video.","Flutter,Dart,Data Vis",mobile,https://github.com/Ad2m1109/Coach-Pro---Mobile-Analytics-Platform,#,false,/static/images/projects/coach-pro-mobile.png
SignLink: Communication Platform,"A comprehensive accessibility app for speech-impaired users integrating text, voice, and sign-to-text translation modules.","Flutter,Dart,Computer Vision,AI",mobile,https://github.com/Ad2m1109/sign-language,#,false,/static/images/projects/signlink.png
Mr. Grammar - AI Writing Assistant,"AI-powered Flutter app for real-time grammar and vocabulary correction using the Gemini API for natural language understanding.","Flutter,Dart,Gemini API,AI",mobile,https://github.com/Ad2m1109/Mr-Grammer,#,false,/static/images/projects/mrgrammer.png
IntelliManage - Intelligent Project Management,"Full-stack project management platform built with Java 21/Spring Boot and Angular, featuring Spring AI for automated task management.","Angular,Spring Boot,Spring AI",tools,https://github.com/Ad2m1109/IntelliManage,#,false,/static/images/projects/intellimanage.svg
Harmonia - Alzheimer's Support App,"Privacy-first Flutter app for Alzheimer's patients featuring offline CSV storage and intelligent reminders for patient independence.","Flutter,Dart,Mobile",mobile,https://github.com/Ad2m1109/Harmonia,#,false,/static/images/projects/harmonia.png
Gemini GUI Agent,"AI-powered automation agent leveraging Gemini API to perform intelligent tasks and interactions through graphical user interfaces.","Python,Gemini API,AI",research,https://github.com/Ad2m1109/Gemini-GUI-Agent,#,false,/static/images/projects/gemini-agent.png
Spendora - Personal Finance Tracker,"Financial management mobile app with interactive dashboards and secure Python backend integration for tracking income/expenses.","Flutter,Dart,Python,MySQL",mobile,https://github.com/Ad2m1109/Spendora,#,false,/static/images/projects/spendora.png
Face Detection & Landmark Tracking,"A research-focused implementation guide covering the transition from basic face detection to advanced 68-point landmark tracking.","Python,OpenCV,Jupyter",research,https://github.com/Ad2m1109/Face-Detection-Landmark,#,false,/static/images/projects/face-detection.png
Phone-to-Graphic-Tablet,"Innovative cross-platform tool transforming smartphone touchscreens into real-time PC drawing tablets for digital artists.","JavaScript,Web,Mobile",tools,https://github.com/Ad2m1109/Phone-to-Graphic-Tablet,#,false,/static/images/projects/phone-tablet.png
K-means Visualizer,"Dynamic web application for visualizing the K-means clustering algorithm, built with FastAPI and Matplotlib.","Python,FastAPI,Machine Learning",research,https://github.com/Ad2m1109/K-means-Visualizer,#,false,/static/images/projects/kmeans.png
California Housing Price Predictor,"ML model predicting housing prices using scikit-learn, featuring comprehensive data preprocessing and evaluation metrics.","Python,scikit-learn,ML",research,https://github.com/Ad2m1109/Machine-Lerning,#,false,/static/images/projects/housing-predictor.png
DragNDropTeX,"No-code LaTeX editor featuring a block-based interface (Scratch-style) for accessible document creation.","LaTeX,Web,Educational",web,https://github.com/Ad2m1109/DragNDropTeX,#,false,/static/images/projects/dragtex.png
YouTube MP3/MP4 Converter,"Python-based desktop utility for high-quality media conversion and downloading from YouTube.","Python,Desktop,Media Processing",tools,https://github.com/Ad2m1109/YouTube-MP3-MP4-Converter,#,false,/static/images/projects/youtube-converter.png
Portfolio Website,"Flask-based professional portfolio featuring responsive design, dark mode, and interactive project filtering.","Python,Flask,Bootstrap",web,https://github.com/Ad2m1109/my-portfolio-website,#,true,/static/images/projects/portfolio-website.png
